election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2019-11-05,Consolidated Municipal Election,3,20191105_3,2019-11-05T22:58:35,115149,,,495050,era_c_xml,header,https://www.sfelections.org/results/20191105/data/20191105_3/summary.xml
2019-11-05,Consolidated Municipal Election,4,20191105_4,2019-11-06T00:32:09,115183,69589,45594,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191105_4/summary.xml
2019-11-05,Consolidated Municipal Election,5,20191106,2019-11-06T16:04:30,133638,88044,45594,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191106/summary.xml
2019-11-05,Consolidated Municipal Election,6,20191107,2019-11-07T16:03:52,163743,118149,45594,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191107/summary.xml
2019-11-05,Consolidated Municipal Election,7,20191108,2019-11-08T16:34:10,190504,144910,45594,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191108/summary.xml
2019-11-05,Consolidated Municipal Election,8,20191109,2019-11-09T15:55:43,204791,146562,58229,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191109/summary.xml
2019-11-05,Consolidated Municipal Election,9,20191110,2019-11-10T15:57:24,206025,146604,59421,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191110/summary.xml
2019-11-05,Consolidated Municipal Election,10,20191112,2019-11-12T16:00:44,206039,146618,59421,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191112/summary.xml
2019-11-05,Consolidated Municipal Election,11,20191113,2019-11-13T16:06:40,206050,146627,59423,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191113/summary.xml
2019-11-05,Consolidated Municipal Election,12,20191114,2019-11-14T16:08:14,206090,146662,59428,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191114/summary.xml
2019-11-05,Consolidated Municipal Election,13,20191125,2019-11-26T15:39:22,206122,,,495050,era_c_xml,header,https://www.sfelections.org/results/20191105/data/20191125/summary.xml
2020-03-03,Presidential Primary Election,1,20200303_1,2020-03-03T20:37:27,72340,72340,0,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200303_1/summary.xml
2020-03-03,Presidential Primary Election,2,20200303_2,2020-03-03T21:42:53,103223,72340,30883,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200303_2/summary.xml
2020-03-03,Presidential Primary Election,3,20200303_3,2020-03-03T22:49:29,144613,72340,72273,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200303_3/summary.xml
